PassengerId,Name,Sex,Embarked,Age,Age_binned,Pclass,SibSp,Parch,Survival,Cabin,Fare,Fare_binned
1,3,1,2,22.0,20대,3,1,0,사망,8,7.25,1.9
2,4,0,0,38.0,30대,1,1,0,생존,2,71.2833,4.2
3,2,0,2,26.0,20대,3,0,0,생존,8,7.925,2.0
4,4,0,2,35.0,30대,1,1,0,생존,2,53.1,4.0
5,3,1,2,35.0,30대,3,0,0,사망,8,8.05,2.0
6,3,1,1,27.71141959548496,20대,3,0,0,사망,8,8.4583,2.1
7,3,1,2,54.0,50대,1,0,0,사망,4,51.8625,3.9
8,1,1,2,2.0,0대,3,3,1,사망,8,21.075,3.0
9,4,0,2,27.0,20대,3,0,2,생존,8,11.1333,2.3
10,4,0,0,14.0,10대,2,1,0,생존,8,30.0708,3.4
11,2,0,2,4.0,0대,3,1,1,생존,6,16.7,2.8
12,2,0,2,58.0,50대,1,0,0,생존,2,26.55,3.3
13,3,1,2,20.0,10대,3,0,0,사망,8,8.05,2.0
14,3,1,2,39.0,30대,3,1,5,사망,8,31.275,3.4
15,2,0,2,14.0,10대,3,0,0,사망,8,7.8542,2.0
16,4,0,2,55.0,50대,2,0,0,생존,8,16.0,2.8
17,1,1,1,2.0,0대,3,4,1,사망,8,29.125,3.4
18,3,1,2,34.000996155644714,30대,2,0,0,생존,8,13.0,2.5
19,4,0,2,31.0,30대,3,1,0,사망,8,18.0,2.8
20,4,0,0,29.636588350805823,20대,3,0,0,생존,8,7.225,1.9
21,3,1,2,35.0,30대,2,0,0,사망,8,26.0,3.2
22,3,1,2,34.0,30대,2,0,0,생존,3,13.0,2.5
23,2,0,1,15.0,10대,3,0,0,생존,8,8.0292,2.0
24,3,1,2,28.0,20대,1,0,0,생존,0,35.5,3.5
25,2,0,2,8.0,0대,3,3,1,사망,8,21.075,3.0
26,4,0,2,38.0,30대,3,1,5,생존,8,31.3875,3.4
27,3,1,0,26.890318414731993,20대,3,0,0,사망,8,7.225,1.9
28,3,1,2,19.0,10대,1,3,2,사망,2,263.0,5.6
29,2,0,1,18.661508842697213,10대,3,0,0,생존,8,7.8792,2.0
30,3,1,2,28.51511225793309,20대,3,0,0,사망,8,7.8958,2.0
31,6,1,0,40.0,30대,1,0,0,사망,8,27.7208,3.3
32,4,0,0,41.04561952807425,40대,1,1,0,생존,1,146.5208,5.0
33,2,0,1,18.660256375515466,10대,3,0,0,생존,8,7.75,2.0
34,3,1,2,66.0,60대,2,0,0,사망,8,10.5,2.3
35,3,1,0,28.0,20대,1,1,0,사망,8,82.1708,4.4
36,3,1,2,42.0,40대,1,1,0,사망,8,52.0,4.0
37,3,1,0,26.89035912960942,20대,3,0,0,생존,8,7.2292,1.9
38,3,1,2,21.0,20대,3,0,0,사망,8,8.05,2.0
39,2,0,2,18.0,10대,3,2,0,사망,8,18.0,2.8
40,2,0,0,14.0,10대,3,1,0,생존,8,11.2417,2.3
41,4,0,2,40.0,30대,3,1,0,사망,8,9.475,2.2
42,4,0,2,27.0,20대,2,1,0,사망,8,21.0,3.0
43,3,1,0,26.896821162297915,20대,3,0,0,사망,8,7.8958,2.0
44,2,0,0,3.0,0대,2,1,2,생존,8,41.5792,3.7
45,2,0,1,19.0,10대,3,0,0,생존,8,7.8792,2.0
46,3,1,2,28.516607075575706,20대,3,0,0,사망,8,8.05,2.0
47,3,1,1,25.634416868026417,20대,3,1,0,사망,8,15.5,2.7
48,2,0,1,18.660256375515466,10대,3,0,0,생존,8,7.75,2.0
49,3,1,0,22.739907501850457,20대,3,2,0,사망,8,21.6792,3.0
50,4,0,2,18.0,10대,3,1,0,사망,8,17.8,2.8
51,1,1,2,7.0,0대,3,4,1,사망,8,39.6875,3.6
52,3,1,2,21.0,20대,3,0,0,사망,8,7.8,2.0
53,4,0,0,49.0,40대,1,1,0,생존,3,76.7292,4.3
54,4,0,2,29.0,20대,2,1,0,생존,8,26.0,3.2
55,3,1,0,65.0,60대,1,0,1,사망,1,61.9792,4.1
56,3,1,2,40.796503410933425,40대,1,0,0,생존,2,35.5,3.5
57,2,0,2,21.0,20대,2,0,0,생존,8,10.5,2.3
58,3,1,0,28.5,20대,3,0,0,사망,8,7.2292,1.9
59,2,0,2,5.0,0대,2,1,2,생존,8,27.75,3.3
60,1,1,2,11.0,10대,3,5,2,사망,8,46.9,3.8
61,3,1,0,22.0,20대,3,0,0,사망,8,7.2292,1.9
62,2,0,2,38.0,30대,1,0,0,생존,1,80.0,4.4
63,3,1,2,45.0,40대,1,1,0,사망,2,83.475,4.4
64,1,1,2,4.0,0대,3,3,2,사망,8,27.9,3.3
65,3,1,0,37.96181245539922,30대,1,0,0,사망,8,27.7208,3.3
66,1,1,0,12.257091504247402,10대,3,1,1,생존,8,15.2458,2.7
67,4,0,2,29.0,20대,2,0,0,생존,5,10.5,2.3
68,3,1,2,19.0,10대,3,0,0,사망,8,8.1583,2.1
69,2,0,2,17.0,10대,3,4,2,생존,8,7.925,2.0
70,3,1,2,26.0,20대,3,2,0,사망,8,8.6625,2.1
71,3,1,2,32.0,30대,2,0,0,사망,8,10.5,2.3
72,2,0,2,16.0,10대,3,5,2,사망,8,46.9,3.8
73,3,1,2,21.0,20대,2,0,0,사망,8,73.5,4.3
74,3,1,0,26.0,20대,3,1,0,사망,8,14.4542,2.6
75,3,1,2,32.0,30대,3,0,0,생존,8,56.4958,4.0
76,3,1,2,25.0,20대,3,0,0,사망,5,7.65,2.0
77,3,1,2,28.51511225793309,20대,3,0,0,사망,8,7.8958,2.0
78,3,1,2,28.516607075575706,20대,3,0,0,사망,8,8.05,2.0
79,1,1,2,0.83,0대,2,0,2,생존,8,29.0,3.4
80,2,0,2,30.0,20대,3,0,0,생존,8,12.475,2.5
81,3,1,2,22.0,20대,3,0,0,사망,8,9.0,2.2
82,3,1,2,29.0,20대,3,0,0,생존,8,9.5,2.2
83,2,0,1,18.66061990120676,10대,3,0,0,생존,8,7.7875,2.0
84,3,1,2,28.0,20대,1,0,0,사망,8,47.1,3.8
85,2,0,2,17.0,10대,2,0,0,생존,8,10.5,2.3
86,4,0,2,33.0,30대,3,3,0,생존,8,15.85,2.7
87,3,1,2,16.0,10대,3,1,3,사망,8,34.375,3.5
88,3,1,2,28.516607075575706,20대,3,0,0,사망,8,8.05,2.0
89,2,0,2,23.0,20대,1,3,2,생존,2,263.0,5.6
90,3,1,2,24.0,20대,3,0,0,사망,8,8.05,2.0
91,3,1,2,29.0,20대,3,0,0,사망,8,8.05,2.0
92,3,1,2,20.0,10대,3,0,0,사망,8,7.8542,2.0
93,3,1,2,46.0,40대,1,1,0,사망,4,61.175,4.0
94,3,1,2,26.0,20대,3,1,2,사망,8,20.575,3.0
95,3,1,2,59.0,50대,3,0,0,사망,8,7.25,1.9
96,3,1,2,28.516607075575706,20대,3,0,0,사망,8,8.05,2.0
97,3,1,0,71.0,70대,1,0,0,사망,0,34.6542,3.5
98,3,1,0,23.0,20대,1,0,1,생존,3,63.3583,4.1
99,4,0,2,34.0,30대,2,0,1,생존,8,23.0,3.1
100,3,1,2,34.0,30대,2,1,0,사망,8,26.0,3.2
101,2,0,2,28.0,20대,3,0,0,사망,8,7.8958,2.0
102,3,1,2,28.51511225793309,20대,3,0,0,사망,8,7.8958,2.0
103,3,1,2,21.0,20대,1,0,1,사망,3,77.2875,4.3
104,3,1,2,33.0,30대,3,0,0,사망,8,8.6542,2.1
105,3,1,2,37.0,30대,3,2,0,사망,8,7.925,2.0
106,3,1,2,28.0,20대,3,0,0,사망,8,7.8958,2.0
107,2,0,2,21.0,20대,3,0,0,생존,8,7.65,2.0
108,3,1,2,28.51394122050619,20대,3,0,0,생존,8,7.775,2.0
109,3,1,2,38.0,30대,3,0,0,사망,8,7.8958,2.0
110,2,0,1,16.673973180773334,10대,3,1,0,생존,8,24.15,3.1
111,3,1,2,47.0,40대,1,0,0,사망,2,52.0,4.0
112,2,0,0,14.5,10대,3,1,0,사망,8,14.4542,2.6
113,3,1,2,22.0,20대,3,0,0,사망,8,8.05,2.0
114,2,0,2,20.0,10대,3,1,0,사망,8,9.825,2.3
115,2,0,0,17.0,10대,3,0,0,사망,8,14.4583,2.6
116,3,1,2,21.0,20대,3,0,0,사망,8,7.925,2.0
117,3,1,1,70.5,70대,3,0,0,사망,8,7.75,2.0
118,3,1,2,29.0,20대,2,1,0,사망,8,21.0,3.0
119,3,1,0,24.0,20대,1,0,1,사망,1,247.5208,5.5
120,2,0,2,2.0,0대,3,4,2,사망,8,31.275,3.4
121,3,1,2,21.0,20대,2,2,0,사망,8,73.5,4.3
122,3,1,2,28.516607075575706,20대,3,0,0,사망,8,8.05,2.0
123,3,1,0,32.5,30대,2,1,0,사망,8,30.0708,3.4
124,2,0,2,32.5,30대,2,0,0,생존,4,13.0,2.5
125,3,1,2,54.0,50대,1,0,1,사망,3,77.2875,4.3
126,1,1,0,12.0,10대,3,1,0,생존,8,11.2417,2.3
127,3,1,1,27.70455332222774,20대,3,0,0,사망,8,7.75,2.0
128,3,1,2,24.0,20대,3,0,0,생존,8,7.1417,1.9
129,2,0,0,15.642804222283582,10대,3,1,1,생존,5,22.3583,3.1
130,3,1,2,45.0,40대,3,0,0,사망,8,6.975,1.9
131,3,1,0,33.0,30대,3,0,0,사망,8,7.8958,2.0
132,3,1,2,20.0,10대,3,0,0,사망,8,7.05,1.9
133,4,0,2,47.0,40대,3,1,0,사망,8,14.5,2.6
134,4,0,2,29.0,20대,2,1,0,생존,8,26.0,3.2
135,3,1,2,25.0,20대,2,0,0,사망,8,13.0,2.5
136,3,1,0,23.0,20대,2,0,0,사망,8,15.0458,2.7
137,2,0,2,19.0,10대,1,0,2,생존,3,26.2833,3.2
138,3,1,2,37.0,30대,1,1,0,사망,2,53.1,4.0
139,3,1,2,16.0,10대,3,0,0,사망,8,9.2167,2.2
140,3,1,0,24.0,20대,1,0,0,사망,1,79.2,4.3
141,4,0,0,28.164044706487473,20대,3,0,2,사망,8,15.2458,2.7
142,2,0,2,22.0,20대,3,0,0,생존,8,7.75,2.0
143,4,0,2,24.0,20대,3,1,0,생존,8,15.85,2.7
144,3,1,1,19.0,10대,3,0,0,사망,8,6.75,1.8
145,3,1,2,18.0,10대,2,0,0,사망,8,11.5,2.4
146,3,1,2,19.0,10대,2,1,1,사망,8,36.75,3.5
147,3,1,2,27.0,20대,3,0,0,생존,8,7.7958,2.0
148,2,0,2,9.0,0대,3,2,2,사망,8,34.375,3.5
149,3,1,2,36.5,30대,2,0,2,사망,5,26.0,3.2
150,5,1,2,42.0,40대,2,0,0,사망,8,13.0,2.5
151,5,1,2,51.0,50대,2,0,0,사망,8,12.525,2.5
152,4,0,2,22.0,20대,1,1,0,생존,2,66.6,4.1
153,3,1,2,55.5,50대,3,0,0,사망,8,8.05,2.0
154,3,1,2,40.5,40대,3,0,2,사망,8,14.5,2.6
155,3,1,2,28.509457736980195,20대,3,0,0,사망,8,7.3125,1.9
156,3,1,0,51.0,50대,1,0,1,사망,8,61.3792,4.0
157,2,0,1,16.0,10대,3,0,0,생존,8,7.7333,2.0
158,3,1,2,30.0,20대,3,0,0,사망,8,8.05,2.0
159,3,1,2,28.52254466186689,20대,3,0,0,사망,8,8.6625,2.1
160,1,1,2,0.0,0대,3,8,2,사망,8,69.55,4.2
161,3,1,2,44.0,40대,3,0,1,사망,8,16.1,2.8
162,4,0,2,40.0,30대,2,0,0,생존,8,15.75,2.7
163,3,1,2,26.0,20대,3,0,0,사망,8,7.775,2.0
164,3,1,2,17.0,10대,3,0,0,사망,8,8.6625,2.1
165,1,1,2,1.0,0대,3,4,1,사망,8,39.6875,3.6
166,1,1,2,9.0,0대,3,0,2,생존,8,20.525,3.0
167,4,0,2,42.57632860889492,40대,1,0,1,생존,4,55.0,4.0
168,4,0,2,45.0,40대,3,1,4,사망,8,27.9,3.3
169,3,1,2,39.562695032729565,30대,1,0,0,사망,8,25.925,3.2
170,3,1,2,28.0,20대,3,0,0,사망,8,56.4958,4.0
171,3,1,2,61.0,60대,1,0,0,사망,1,33.5,3.4
172,1,1,1,4.0,0대,3,4,1,사망,8,29.125,3.4
173,2,0,2,1.0,0대,3,1,1,생존,8,11.1333,2.3
174,3,1,2,21.0,20대,3,0,0,사망,8,7.925,2.0
175,3,1,0,56.0,50대,1,0,0,사망,0,30.6958,3.4
176,3,1,2,18.0,10대,3,1,1,사망,8,7.8542,2.0
177,1,1,2,9.683933998761898,0대,3,3,1,사망,8,25.4667,3.2
178,2,0,0,50.0,40대,1,0,0,사망,2,28.7125,3.3
179,3,1,2,30.0,20대,2,0,0,사망,8,13.0,2.5
180,3,1,2,36.0,30대,3,0,0,사망,8,8.05,2.0
181,2,0,2,1.356074058657061,0대,3,8,2,사망,8,69.55,4.2
182,3,1,0,32.40257779780044,30대,2,0,0,사망,8,15.05,2.7
183,1,1,2,9.0,0대,3,4,2,사망,8,31.3875,3.4
184,1,1,2,1.0,0대,2,2,1,생존,5,39.0,3.6
185,2,0,2,4.0,0대,3,0,2,생존,8,22.025,3.0
186,3,1,2,41.31739606213252,40대,1,0,0,사망,0,50.0,3.9
187,4,0,1,28.38068680410025,20대,3,1,0,생존,8,15.5,2.7
188,3,1,2,45.0,40대,1,0,0,생존,8,26.55,3.3
189,3,1,1,40.0,30대,3,1,1,사망,8,15.5,2.7
190,3,1,2,36.0,30대,3,0,0,사망,8,7.8958,2.0
191,4,0,2,32.0,30대,2,0,0,생존,8,13.0,2.5
192,3,1,2,19.0,10대,2,0,0,사망,8,13.0,2.5
193,2,0,2,19.0,10대,3,1,0,생존,8,7.8542,2.0
194,1,1,2,3.0,0대,2,1,1,생존,5,26.0,3.2
195,4,0,0,44.0,40대,1,0,0,생존,1,27.7208,3.3
196,2,0,0,58.0,50대,1,0,0,생존,1,146.5208,5.0
197,3,1,1,27.70455332222774,20대,3,0,0,사망,8,7.75,2.0
198,3,1,2,42.0,40대,3,0,1,사망,8,8.4042,2.1
199,2,0,1,18.660256375515466,10대,3,0,0,생존,8,7.75,2.0
200,2,0,2,24.0,20대,2,0,0,사망,8,13.0,2.5
201,3,1,2,28.0,20대,3,0,0,사망,8,9.5,2.2
202,3,1,2,10.400371005369339,10대,3,8,2,사망,8,69.55,4.2
203,3,1,2,34.0,30대,3,0,0,사망,8,6.4958,1.8
204,3,1,0,45.5,40대,3,0,0,사망,8,7.225,1.9
205,3,1,2,18.0,10대,3,0,0,생존,8,8.05,2.0
206,2,0,2,2.0,0대,3,0,1,사망,6,10.4625,2.3
207,3,1,2,32.0,30대,3,1,0,사망,8,15.85,2.7
208,3,1,0,26.0,20대,3,0,0,생존,8,18.7875,2.8
209,2,0,1,16.0,10대,3,0,0,생존,8,7.75,2.0
210,3,1,0,40.0,30대,1,0,0,생존,0,31.0,3.4
211,3,1,2,24.0,20대,3,0,0,사망,8,7.05,1.9
212,2,0,2,35.0,30대,2,0,0,생존,8,21.0,3.0
213,3,1,2,22.0,20대,3,0,0,사망,8,7.25,1.9
214,3,1,2,30.0,20대,2,0,0,사망,8,13.0,2.5
215,3,1,1,25.559288225158355,20대,3,1,0,사망,8,7.75,2.0
216,2,0,0,31.0,30대,1,1,0,생존,3,113.275,4.7
217,2,0,2,27.0,20대,3,0,0,생존,8,7.925,2.0
218,3,1,2,42.0,40대,2,1,0,사망,8,27.0,3.3
219,2,0,0,32.0,30대,1,0,0,생존,3,76.2917,4.3
220,3,1,2,30.0,20대,2,0,0,사망,8,10.5,2.3
221,3,1,2,16.0,10대,3,0,0,생존,8,8.05,2.0
222,3,1,2,27.0,20대,2,0,0,사망,8,13.0,2.5
223,3,1,2,51.0,50대,3,0,0,사망,8,8.05,2.0
224,3,1,2,28.51511225793309,20대,3,0,0,사망,8,7.8958,2.0
225,3,1,2,38.0,30대,1,1,0,생존,2,90.0,4.5
226,3,1,2,22.0,20대,3,0,0,사망,8,9.35,2.2
227,3,1,2,19.0,10대,2,0,0,생존,8,10.5,2.3
228,3,1,2,20.5,20대,3,0,0,사망,8,7.25,1.9
229,3,1,2,18.0,10대,2,0,0,사망,8,13.0,2.5
230,2,0,2,12.43020393483573,10대,3,3,1,사망,8,25.4667,3.2
231,4,0,2,35.0,30대,1,1,0,생존,2,83.475,4.4
232,3,1,2,29.0,20대,3,0,0,사망,8,7.775,2.0
233,3,1,2,59.0,50대,2,0,0,사망,8,13.5,2.6
234,2,0,2,5.0,0대,3,4,2,생존,8,31.3875,3.4
235,3,1,2,24.0,20대,2,0,0,사망,8,10.5,2.3
236,2,0,2,19.467463119646133,10대,3,0,0,사망,8,7.55,2.0
237,3,1,2,44.0,40대,2,1,0,사망,8,26.0,3.2
238,2,0,2,8.0,0대,2,0,2,생존,8,26.25,3.2
239,3,1,2,19.0,10대,2,0,0,사망,8,10.5,2.3
240,3,1,2,33.0,30대,2,0,0,사망,8,12.275,2.4
241,2,0,0,15.770836369017662,10대,3,1,0,사망,8,14.4542,2.6
242,2,0,1,16.590119921314145,10대,3,1,0,생존,8,15.5,2.7
243,3,1,2,29.0,20대,2,0,0,사망,8,10.5,2.3
244,3,1,2,22.0,20대,3,0,0,사망,8,7.125,1.9
245,3,1,0,30.0,20대,3,0,0,사망,8,7.225,1.9
246,0,1,1,44.0,40대,1,2,0,사망,2,90.0,4.5
247,2,0,2,25.0,20대,3,0,0,사망,8,7.775,2.0
248,4,0,2,24.0,20대,2,0,2,생존,8,14.5,2.6
249,3,1,2,37.0,30대,1,1,1,생존,3,52.5542,4.0
250,5,1,2,54.0,50대,2,1,0,사망,8,26.0,3.2
251,3,1,2,28.50885186082803,20대,3,0,0,사망,8,7.25,1.9
252,4,0,2,29.0,20대,3,1,1,사망,6,10.4625,2.3
253,3,1,2,62.0,60대,1,0,0,사망,2,26.55,3.3
254,3,1,2,30.0,20대,3,1,0,사망,8,16.1,2.8
255,4,0,2,41.0,40대,3,0,2,사망,8,20.2125,2.9
256,4,0,0,29.0,20대,3,0,2,생존,8,15.2458,2.7
257,4,0,0,41.20712270527092,40대,1,0,0,생존,8,79.2,4.3
258,2,0,2,30.0,20대,1,0,0,생존,1,86.5,4.5
259,2,0,0,35.0,30대,1,0,0,생존,8,512.3292,6.2
260,4,0,2,50.0,40대,2,0,1,생존,8,26.0,3.2
261,3,1,1,27.70455332222774,20대,3,0,0,사망,8,7.75,2.0
262,1,1,2,3.0,0대,3,4,2,생존,8,31.3875,3.4
263,3,1,2,52.0,50대,1,1,1,사망,4,79.65,4.4
264,3,1,2,40.0,30대,1,0,0,사망,1,61.3792,4.0
265,2,0,1,18.660256375515466,10대,3,0,0,사망,8,7.75,2.0
266,3,1,2,36.0,30대,2,0,0,사망,8,10.5,2.3
267,3,1,2,16.0,10대,3,4,1,사망,8,39.6875,3.6
268,3,1,2,25.0,20대,3,1,0,생존,8,7.775,2.0
269,4,0,2,58.0,50대,1,0,1,생존,2,153.4625,5.0
270,2,0,2,35.0,30대,1,0,0,생존,2,135.6333,4.9
271,3,1,2,39.611892176285096,30대,1,0,0,사망,8,31.0,3.4
272,3,1,2,25.0,20대,3,0,0,생존,8,8.05,2.0
273,4,0,2,41.0,40대,2,0,1,생존,8,19.5,2.9
274,3,1,0,37.0,30대,1,0,1,사망,2,29.7,3.4
275,2,0,1,18.660256375515466,10대,3,0,0,생존,8,7.75,2.0
276,2,0,2,63.0,60대,1,1,0,생존,3,77.9583,4.3
277,2,0,2,45.0,40대,3,0,0,사망,8,7.75,2.0
278,3,1,2,34.02086889343562,30대,2,0,0,사망,8,15.05,2.7
279,1,1,1,7.0,0대,3,4,1,사망,8,29.125,3.4
280,4,0,2,35.0,30대,3,1,1,생존,8,20.25,2.9
281,3,1,1,65.0,60대,3,0,0,사망,8,7.75,2.0
282,3,1,2,28.0,20대,3,0,0,사망,8,7.8542,2.0
283,3,1,2,16.0,10대,3,0,0,사망,8,9.5,2.2
284,3,1,2,19.0,10대,3,0,0,생존,8,8.05,2.0
285,3,1,2,41.08473961970239,40대,1,0,0,사망,0,26.0,3.2
286,3,1,0,33.0,30대,3,0,0,사망,8,8.6625,2.1
287,3,1,2,30.0,20대,3,0,0,생존,8,9.5,2.2
288,3,1,2,22.0,20대,3,0,0,사망,8,7.8958,2.0
289,3,1,2,42.0,40대,2,0,0,생존,8,13.0,2.5
290,2,0,1,22.0,20대,3,0,0,생존,8,7.75,2.0
291,2,0,2,26.0,20대,1,0,0,생존,8,78.85,4.3
292,4,0,0,19.0,10대,1,1,0,생존,1,91.0792,4.5
293,3,1,0,36.0,30대,2,0,0,사망,3,12.875,2.5
294,2,0,2,24.0,20대,3,0,0,사망,8,8.85,2.2
295,3,1,2,24.0,20대,3,0,0,사망,8,7.8958,2.0
296,3,1,0,37.96181245539922,30대,1,0,0,사망,8,27.7208,3.3
297,3,1,0,23.5,20대,3,0,0,사망,8,7.2292,1.9
298,2,0,2,2.0,0대,1,1,2,사망,2,151.55,5.0
299,3,1,2,40.74803331876048,40대,1,0,0,생존,2,30.5,3.4
300,4,0,0,50.0,40대,1,0,1,생존,1,247.5208,5.5
301,2,0,1,18.660256375515466,10대,3,0,0,생존,8,7.75,2.0
302,3,1,1,23.564280413825095,20대,3,2,0,생존,8,23.25,3.1
303,3,1,2,19.0,10대,3,0,0,사망,8,8.05,2.0
304,2,0,1,24.90191131692748,20대,2,0,0,생존,4,12.35,2.5
305,3,1,2,28.516607075575706,20대,3,0,0,사망,8,8.05,2.0
306,1,1,2,0.92,0대,1,1,2,생존,2,151.55,5.0
307,2,0,0,29.72369431675342,20대,1,0,0,생존,8,110.8833,4.6
308,4,0,0,17.0,10대,1,1,0,생존,2,108.9,4.6
309,3,1,0,30.0,20대,2,1,0,사망,8,24.0,3.1
310,2,0,0,30.0,20대,1,0,0,생존,4,56.9292,4.0
311,2,0,0,24.0,20대,1,0,0,생존,2,83.1583,4.4
312,2,0,0,18.0,10대,1,2,2,생존,1,262.375,5.6
313,4,0,2,26.0,20대,2,1,1,사망,8,26.0,3.2
314,3,1,2,28.0,20대,3,0,0,사망,8,7.8958,2.0
315,3,1,2,43.0,40대,2,1,1,사망,8,26.25,3.2
316,2,0,2,26.0,20대,3,0,0,생존,8,7.8542,2.0
317,4,0,2,24.0,20대,2,1,0,생존,8,26.0,3.2
318,0,1,2,54.0,50대,2,0,0,사망,8,14.0,2.6
319,2,0,2,31.0,30대,1,0,2,생존,2,164.8667,5.1
320,4,0,0,40.0,30대,1,1,1,생존,4,134.5,4.9
321,3,1,2,22.0,20대,3,0,0,사망,8,7.25,1.9
322,3,1,2,27.0,20대,3,0,0,사망,8,7.8958,2.0
323,2,0,1,30.0,20대,2,0,0,생존,8,12.35,2.5
324,4,0,2,22.0,20대,2,1,1,생존,8,29.0,3.4
325,3,1,2,10.400371005369339,10대,3,8,2,사망,8,69.55,4.2
